,date,open,close,high,low,volume,code
97,2002-01-21,-112.716,-112.792,-112.662,-112.844,15755.93,600519
98,2002-01-22,-112.805,-112.691,-112.6,-112.805,13485.67,600519
99,2002-01-23,-112.654,-112.481,-112.476,-112.734,23336.48,600519
100,2002-01-24,-112.527,-112.54,-112.437,-112.627,26615.8,600519
101,2002-01-25,-112.549,-112.574,-112.49,-112.627,13941.12,600519
102,2002-01-28,-112.591,-112.86,-112.54,-112.893,21667.82,600519
103,2002-01-29,-112.911,-112.829,-112.734,-112.95,11872.0,600519
104,2002-01-30,-112.84,-112.844,-112.719,-112.911,8419.22,600519
105,2002-01-31,-112.769,-112.485,-112.414,-112.769,40828.3,600519
106,2002-02-01,-112.503,-112.581,-112.417,-112.609,17345.03,600519
107,2002-02-04,-112.559,-112.428,-112.387,-112.591,16510.19,600519
108,2002-02-05,-112.426,-112.431,-112.293,-112.479,11195.73,600519
109,2002-02-06,-112.439,-112.559,-112.394,-112.575,9668.54,600519
110,2002-02-07,-112.559,-112.519,-112.428,-112.57,6688.17,600519
111,2002-02-08,-112.485,-112.476,-112.378,-112.488,12569.31,600519
112,2002-02-26,-112.415,-112.455,-112.325,-112.511,14815.99,600519
113,2002-02-27,-112.44,-112.426,-112.396,-112.503,8290.81,600519
114,2002-02-28,-112.414,-112.414,-112.332,-112.453,12506.98,600519
115,2002-03-01,-112.423,-112.522,-112.387,-112.556,7421.45,600519
116,2002-03-04,-112.529,-112.407,-112.399,-112.57,5224.85,600519
117,2002-03-05,-112.403,-112.309,-112.218,-112.439,22188.87,600519
118,2002-03-06,-112.272,-112.35,-112.222,-112.41,18620.14,600519
119,2002-03-07,-112.378,-112.325,-112.307,-112.405,13616.02,600519
120,2002-03-08,-112.316,-112.124,-112.097,-112.316,35326.81,600519
121,2002-03-11,-112.113,-112.156,-112.113,-112.224,17606.0,600519
122,2002-03-12,-112.156,-112.325,-112.156,-112.325,17251.85,600519
123,2002-03-13,-112.359,-112.371,-112.272,-112.38,7793.99,600519
124,2002-03-14,-112.394,-112.304,-112.289,-112.405,6387.74,600519
125,2002-03-15,-112.41,-112.428,-112.254,-112.44,11892.88,600519
126,2002-03-18,-112.392,-112.414,-112.272,-112.431,6070.27,600519
127,2002-03-19,-112.396,-112.28,-112.257,-112.41,6774.04,600519
128,2002-03-20,-112.272,-112.241,-112.147,-112.289,15031.33,600519
129,2002-03-21,-112.183,-112.25,-112.136,-112.296,15037.21,600519
130,2002-03-22,-112.25,-112.318,-112.236,-112.339,7972.76,600519
131,2002-03-25,-112.327,-112.275,-112.254,-112.36,4315.07,600519
132,2002-03-26,-112.289,-112.378,-112.272,-112.392,6239.09,600519
133,2002-03-27,-112.387,-112.396,-112.332,-112.43,4991.01,600519
134,2002-03-28,-112.412,-112.412,-112.364,-112.414,5291.57,600519
135,2002-03-29,-112.414,-112.545,-112.405,-112.574,10625.47,600519
136,2002-04-01,-112.563,-112.485,-112.451,-112.57,2766.05,600519
137,2002-04-02,-112.483,-112.588,-112.456,-112.625,7329.33,600519
138,2002-04-03,-112.588,-112.595,-112.538,-112.623,6019.45,600519
139,2002-04-04,-112.597,-112.488,-112.485,-112.678,5161.43,600519
140,2002-04-05,-112.453,-112.542,-112.424,-112.574,3046.85,600519
141,2002-04-08,-112.538,-112.591,-112.52,-112.6,2300.46,600519
142,2002-04-09,-112.591,-112.515,-112.503,-112.613,3291.57,600519
143,2002-04-10,-112.515,-112.506,-112.455,-112.556,3423.83,600519
144,2002-04-11,-112.504,-112.504,-112.435,-112.519,6797.99,600519
145,2002-04-12,-112.481,-112.414,-112.375,-112.499,4519.28,600519
146,2002-04-15,-112.332,-112.433,-112.325,-112.485,2925.94,600519
147,2002-04-16,-112.435,-112.367,-112.36,-112.435,6036.15,600519
148,2002-04-17,-112.325,-112.595,-112.325,-112.618,13219.28,600519
149,2002-04-18,-112.591,-112.7,-112.558,-112.702,8538.15,600519
150,2002-04-19,-112.7,-112.73,-112.689,-112.789,8854.32,600519
151,2002-04-22,-112.769,-112.735,-112.698,-112.787,4113.65,600519
152,2002-04-23,-112.735,-112.854,-112.735,-112.856,4088.22,600519
153,2002-04-24,-112.858,-112.904,-112.79,-112.918,5050.88,600519
154,2002-04-25,-112.929,-112.856,-112.826,-112.929,2596.76,600519
155,2002-04-26,-112.858,-112.765,-112.755,-112.876,2381.23,600519
156,2002-04-29,-112.734,-112.707,-112.591,-112.734,4665.21,600519
157,2002-04-30,-112.684,-112.734,-112.662,-112.778,5978.47,600519
158,2002-05-08,-112.714,-112.725,-112.68,-112.765,1700.49,600519
159,2002-05-09,-112.769,-112.764,-112.689,-112.769,1712.21,600519
160,2002-05-10,-112.76,-112.829,-112.746,-112.831,2688.5,600519
161,2002-05-13,-112.845,-112.876,-112.822,-112.879,2830.74,600519
162,2002-05-14,-112.876,-112.861,-112.684,-112.909,5070.03,600519
163,2002-05-15,-112.826,-112.886,-112.824,-112.911,2244.3,600519
164,2002-05-16,-112.902,-112.954,-112.883,-112.963,5549.83,600519
165,2002-05-17,-112.966,-112.94,-112.842,-112.991,3859.68,600519
166,2002-05-20,-112.949,-113.034,-112.949,-113.036,3353.69,600519
167,2002-05-21,-112.851,-112.941,-112.851,-112.965,5707.0,600519
168,2002-05-22,-112.929,-112.943,-112.861,-112.956,2974.06,600519
169,2002-05-23,-112.79,-112.911,-112.79,-112.929,1619.9,600519
170,2002-05-24,-112.945,-112.966,-112.911,-113.004,2407.35,600519
171,2002-05-27,-112.947,-112.927,-112.886,-112.966,1653.26,600519
172,2002-05-28,-112.911,-112.918,-112.849,-112.929,2614.9,600519
173,2002-05-29,-112.909,-112.988,-112.879,-113.007,2684.74,600519
174,2002-05-30,-112.968,-112.972,-112.936,-113.018,1962.25,600519
175,2002-05-31,-112.947,-112.956,-112.918,-112.982,1806.1,600519
176,2002-06-03,-112.965,-112.959,-112.945,-113.034,2290.22,600519
177,2002-06-04,-112.965,-113.036,-112.947,-113.124,1976.0,600519
178,2002-06-05,-113.036,-113.062,-113.036,-113.107,2224.75,600519
179,2002-06-06,-113.057,-112.949,-112.863,-113.107,5757.4,600519
180,2002-06-07,-112.982,-112.961,-112.918,-113.016,3622.16,600519
181,2002-06-10,-112.947,-113.011,-112.938,-113.034,1832.53,600519
182,2002-06-11,-112.991,-112.979,-112.943,-113.009,1539.2,600519
183,2002-06-12,-112.982,-112.927,-112.925,-113.027,2082.2,600519
184,2002-06-13,-112.929,-112.965,-112.893,-112.968,1623.0,600519
185,2002-06-14,-112.965,-113.009,-112.911,-113.018,947.11,600519
186,2002-06-17,-113.027,-113.009,-113.007,-113.071,1358.1,600519
187,2002-06-18,-113.0,-112.952,-112.933,-113.002,1636.99,600519
188,2002-06-19,-112.965,-112.995,-112.947,-113.0,833.5,600519
189,2002-06-20,-112.95,-112.968,-112.938,-112.989,1319.2,600519
190,2002-06-21,-112.947,-112.86,-112.822,-112.968,4266.51,600519
191,2002-06-24,-112.229,-112.382,-112.229,-112.591,61254.41,600519
192,2002-06-26,-112.542,-112.618,-112.52,-112.67,15423.0,600519
193,2002-06-27,-112.609,-112.63,-112.559,-112.662,5581.78,600519
194,2002-06-28,-112.645,-112.586,-112.524,-112.645,10763.73,600519
195,2002-07-01,-112.577,-112.627,-112.504,-112.63,4320.0,600519
196,2002-07-02,-112.627,-112.636,-112.627,-112.666,3935.07,600519
197,2002-07-03,-112.636,-112.652,-112.618,-112.68,5333.12,600519
198,2002-07-04,-112.648,-112.757,-112.645,-112.769,6669.87,600519
199,2002-07-05,-112.758,-112.741,-112.737,-112.769,6815.67,600519
200,2002-07-08,-112.737,-112.739,-112.687,-112.751,3192.72,600519
201,2002-07-09,-112.737,-112.748,-112.726,-112.764,3523.23,600519
202,2002-07-10,-112.748,-112.819,-112.726,-112.831,4622.79,600519
203,2002-07-11,-112.835,-112.781,-112.725,-112.835,2357.61,600519
204,2002-07-12,-112.771,-112.764,-112.737,-112.805,1588.49,600519
205,2002-07-15,-112.767,-112.785,-112.741,-112.787,1308.58,600519
206,2002-07-16,-112.826,-112.787,-112.746,-112.826,2316.49,600519
207,2002-07-17,-112.778,-112.787,-112.769,-112.831,1342.19,600519
208,2002-07-18,-112.76,-112.726,-112.682,-112.769,5893.89,600519
209,2002-07-19,-112.703,-112.7,-112.687,-112.723,2516.89,600519
210,2002-07-22,-112.648,-112.698,-112.645,-112.71,6103.57,600519
211,2002-07-23,-112.689,-112.725,-112.689,-112.767,2901.58,600519
212,2002-07-24,-112.716,-112.698,-112.682,-112.751,4663.87,600519
213,2002-07-25,-112.685,-112.744,-112.646,-112.783,1700.42,600519
214,2002-07-26,-112.707,-112.779,-112.707,-112.791,1558.24,600519
215,2002-07-29,-112.765,-112.865,-112.75,-112.886,2557.48,600519
216,2002-07-30,-112.867,-112.898,-112.853,-112.906,3445.96,600519
217,2002-07-31,-112.898,-112.937,-112.863,-112.951,2579.85,600519
218,2002-08-01,-112.945,-112.953,-112.904,-112.971,2000.89,600519
219,2002-08-02,-112.941,-112.916,-112.847,-112.99,1253.88,600519
220,2002-08-05,-112.914,-112.937,-112.902,-112.951,1078.12,600519
221,2002-08-06,-112.937,-112.918,-112.886,-112.957,2092.37,600519
222,2002-08-07,-112.916,-112.918,-112.902,-112.931,1355.79,600519
223,2002-08-08,-112.918,-112.943,-112.888,-112.961,1264.6,600519
224,2002-08-09,-112.959,-113.004,-112.931,-113.012,2490.2,600519
225,2002-08-12,-113.039,-113.078,-113.023,-113.078,2250.5,600519
